Name,IMDB Ratings,IMDB Score,Content Rating,Date Released,Genres,Genre 1,Genre 2,Genre 3,Keywords,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Production Companies,Stars,Star 1,Star 1 url,Star 2,Star 2 url,Star 3,Star 3 url,Directors,Director 1,Director 1 url,Director 2,Director 2 url,Director 3,Director 3 url,Writers,Writer 1,Writer 1 url,Writer 2,Writer 2 url,Writer 3,Writer 3 url,Runtime,Nominations,Awards,Estimated Budget,Budget Currency,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD
Venom: Let There Be Carnage,251550,5.9,14A,2021-10-01,"['Action', 'Sci-Fi', 'Thriller']",Action,Sci-Fi,Thriller,"['based on comic', 'superhero', 'marvel comics', 'sequel', 'second part']",based on comic,superhero,marvel comics,sequel,second part,"['Sony Pictures Entertainment (SPE)', 'Pascal Pictures', 'Marvel Entertainment']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0362766/', 'name': 'Tom Hardy'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000437/', 'name': 'Woody Harrelson'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0931329/', 'name': 'Michelle Williams'}]",Tom Hardy,https://www.imdb.com/name/nm0362766/,Woody Harrelson,https://www.imdb.com/name/nm0000437/,Michelle Williams,https://www.imdb.com/name/nm0931329/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0785227/', 'name': 'Andy Serkis'}]",Andy Serkis,https://www.imdb.com/name/nm0785227/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0026545/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0532247/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0047120/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0545150/', 'name': 'Kelly Marcel'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0362766/', 'name': 'Tom Hardy'}]",Kelly Marcel,https://www.imdb.com/name/nm0545150/,Tom Hardy,https://www.imdb.com/name/nm0362766/,unknown,unknown,97,1,6,110000000.0,USD,213550366.0,90033210.0,506863592.0
The Power of the Dog,189196,6.8,14A,2021-12-01,"['Drama', 'Western']",Drama,Western,unknown,"['animal cruelty', 'repressed homosexuality', 'homosexuality', 'bull castration', 'male nudity']",animal cruelty,repressed homosexuality,homosexuality,bull castration,male nudity,"['New Zealand Film Commission', 'Cross City Films', 'BBC Films']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1212722/', 'name': 'Benedict Cumberbatch'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000379/', 'name': 'Kirsten Dunst'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0687146/', 'name': 'Jesse Plemons'}]",Benedict Cumberbatch,https://www.imdb.com/name/nm1212722/,Kirsten Dunst,https://www.imdb.com/name/nm0000379/,Jesse Plemons,https://www.imdb.com/name/nm0687146/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001005/', 'name': 'Jane Campion'}]",Jane Campion,https://www.imdb.com/name/nm0001005/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0065796/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0605911/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0103694/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001005/', 'name': 'Jane Campion'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm11320316/', 'name': 'Thomas Savage'}]",Jane Campion,https://www.imdb.com/name/nm0001005/,Thomas Savage,https://www.imdb.com/name/nm11320316/,unknown,unknown,126,278,315,,unknown,,,271009.0
The Black Phone,181709,6.9,14A,2022-06-24,"['Horror', 'Mystery', 'Thriller']",Horror,Mystery,Thriller,"['serial child killer', 'masked killer', 'child abduction', 'alcoholic father', 'basement']",serial child killer,masked killer,child abduction,alcoholic father,basement,"['Universal Pictures', 'Blumhouse Productions', 'Crooked Highway']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm9296746/', 'name': 'Mason Thames'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm6421259/', 'name': 'Madeleine McGraw'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000160/', 'name': 'Ethan Hawke'}]",Mason Thames,https://www.imdb.com/name/nm9296746/,Madeleine McGraw,https://www.imdb.com/name/nm6421259/,Ethan Hawke,https://www.imdb.com/name/nm0000160/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0220600/', 'name': 'Scott Derrickson'}]",Scott Derrickson,https://www.imdb.com/name/nm0220600/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0005073/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0098315/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0843410/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0454872/', 'name': 'Joe Hill'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0220600/', 'name': 'Scott Derrickson'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1803036/', 'name': 'C. Robert Cargill'}]",Joe Hill,https://www.imdb.com/name/nm0454872/,Scott Derrickson,https://www.imdb.com/name/nm0220600/,C. Robert Cargill,https://www.imdb.com/name/nm1803036/,103,7,16,18000000.0,USD,90123230.0,23633220.0,161440742.0
The Last Duel,175089,7.4,18A,2021-10-15,"['Action', 'Drama', 'History']",Action,Drama,History,"['14th century', 'duel', 'battle', 'husband wife relationship', 'historical drama']",14th century,duel,battle,husband wife relationship,historical drama,"['20th Century Studios', 'Pearl Street Films', 'Scott Free Productions']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000354/', 'name': 'Matt Damon'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3485845/', 'name': 'Adam Driver'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3069650/', 'name': 'Jodie Comer'}]",Matt Damon,https://www.imdb.com/name/nm0000354/,Adam Driver,https://www.imdb.com/name/nm3485845/,Jodie Comer,https://www.imdb.com/name/nm3069650/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000631/', 'name': 'Ridley Scott'}]",Ridley Scott,https://www.imdb.com/name/nm0000631/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0781821/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0358992/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0074212/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0392237/', 'name': 'Nicole Holofcener'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000255/', 'name': 'Ben Affleck'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000354/', 'name': 'Matt Damon'}]",Nicole Holofcener,https://www.imdb.com/name/nm0392237/,Ben Affleck,https://www.imdb.com/name/nm0000255/,Matt Damon,https://www.imdb.com/name/nm0000354/,152,4,44,100000000.0,USD,10853945.0,4759151.0,30552111.0
Last Night in Soho,167748,7.0,14A,2021-10-22,"['Drama', 'Horror', 'Mystery']",Drama,Horror,Mystery,"['1960s', 'fashion designer', 'soho london', 'seeing the past', 'female serial killer']",1960s,fashion designer,soho london,seeing the past,female serial killer,"['Focus Features International (FFI)', 'Film4', 'Perfect World Pictures']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm5057169/', 'name': 'Thomasin McKenzie'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm5896355/', 'name': 'Anya Taylor-Joy'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1741002/', 'name': 'Matt Smith'}]",Thomasin McKenzie,https://www.imdb.com/name/nm5057169/,Anya Taylor-Joy,https://www.imdb.com/name/nm5896355/,Matt Smith,https://www.imdb.com/name/nm1741002/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0942367/', 'name': 'Edgar Wright'}]",Edgar Wright,https://www.imdb.com/name/nm0942367/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0288663/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0197272/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0739708/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0942367/', 'name': 'Edgar Wright'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4880670/', 'name': 'Krysty Wilson-Cairns'}]",Edgar Wright,https://www.imdb.com/name/nm0942367/,Krysty Wilson-Cairns,https://www.imdb.com/name/nm4880670/,unknown,unknown,116,24,74,43000000.0,USD,10127625.0,4178460.0,22957625.0
The Guilty,142910,6.3,14A,2021-10-01,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,"['remake', 'kidnapping', 'police officer', 'police', 'woman in jeopardy']",remake,kidnapping,police officer,police,woman in jeopardy,"['Amet Entertainment', 'Bold Films', 'Endeavor Content']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0350453/', 'name': 'Jake Gyllenhaal'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2142336/', 'name': 'Riley Keough'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0765597/', 'name': 'Peter Sarsgaard'}]",Jake Gyllenhaal,https://www.imdb.com/name/nm0350453/,Riley Keough,https://www.imdb.com/name/nm2142336/,Peter Sarsgaard,https://www.imdb.com/name/nm0765597/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0298807/', 'name': 'Antoine Fuqua'}]",Antoine Fuqua,https://www.imdb.com/name/nm0298807/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0821329/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0135575/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0670857/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4446305/', 'name': 'Nic Pizzolatto'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm7546166/', 'name': 'Gustav Möller'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3764055/', 'name': 'Emil Nygaard Albertsen'}]",Nic Pizzolatto,https://www.imdb.com/name/nm4446305/,Gustav Möller,https://www.imdb.com/name/nm7546166/,Emil Nygaard Albertsen,https://www.imdb.com/name/nm3764055/,90,0,0,,unknown,,,
King Richard,129906,7.5,PG,2021-11-19,"['Biography', 'Drama', 'Sport']",Biography,Drama,Sport,"['tennis player', 'compton', 'father', 'based on real people', 'tennis coach']",tennis player,compton,father,based on real people,tennis coach,"['Warner Bros.', 'Star Thrower Entertainment', 'Westbrook Studios']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000226/', 'name': 'Will Smith'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0254712/', 'name': 'Aunjanue Ellis-Taylor'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1256532/', 'name': 'Jon Bernthal'}]",Will Smith,https://www.imdb.com/name/nm0000226/,Aunjanue Ellis-Taylor,https://www.imdb.com/name/nm0254712/,Jon Bernthal,https://www.imdb.com/name/nm1256532/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3232264/', 'name': 'Reinaldo Marcus Green'}]",Reinaldo Marcus Green,https://www.imdb.com/name/nm3232264/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0002663/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0306981/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0744777/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1598140/', 'name': 'Zach Baylin'}]",Zach Baylin,https://www.imdb.com/name/nm1598140/,unknown,unknown,unknown,unknown,144,49,137,50000000.0,USD,15129285.0,5406033.0,39429285.0
Malignant,104878,6.2,14A,2021-09-10,"['Crime', 'Horror', 'Mystery']",Crime,Horror,Mystery,"['woman in jeopardy', 'body horror', 'giallo esque', 'psychic connection', 'imaginary friend']",woman in jeopardy,body horror,giallo esque,psychic connection,imaginary friend,"['New Line Cinema', 'Starlight Culture Entertainment', 'Atomic Monster']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1834115/', 'name': 'Annabelle Wallis'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4487976/', 'name': 'Maddie Hasson'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2965226/', 'name': 'George Young'}]",Annabelle Wallis,https://www.imdb.com/name/nm1834115/,Maddie Hasson,https://www.imdb.com/name/nm4487976/,George Young,https://www.imdb.com/name/nm2965226/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1490123/', 'name': 'James Wan'}]",James Wan,https://www.imdb.com/name/nm1490123/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0046718/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0708427/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0504531/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1490123/', 'name': 'James Wan'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2445328/', 'name': 'Ingrid Bisu'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4868455/', 'name': 'Akela Cooper'}]",James Wan,https://www.imdb.com/name/nm1490123/,Ingrid Bisu,https://www.imdb.com/name/nm2445328/,Akela Cooper,https://www.imdb.com/name/nm4868455/,111,4,18,40000000.0,USD,13391791.0,5434620.0,34891791.0
Halloween Kills,96205,5.5,18A,2021-10-15,"['Action', 'Horror', 'Thriller']",Action,Horror,Thriller,"['slasher', 'halloween', 'michael myers character', 'murder spree', 'killing spree']",slasher,halloween,michael myers character,murder spree,killing spree,"['Universal Pictures', 'Miramax', 'Blumhouse Productions']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000130/', 'name': 'Jamie Lee Curtis'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0339460/', 'name': 'Judy Greer'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm5506858/', 'name': 'Andi Matichak'}]",Jamie Lee Curtis,https://www.imdb.com/name/nm0000130/,Judy Greer,https://www.imdb.com/name/nm0339460/,Andi Matichak,https://www.imdb.com/name/nm5506858/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0337773/', 'name': 'David Gordon Green'}]",David Gordon Green,https://www.imdb.com/name/nm0337773/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0005073/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0022594/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0098315/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000118/', 'name': 'John Carpenter'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0384185/', 'name': 'Debra Hill'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1802374/', 'name': 'Scott Teems'}]",John Carpenter,https://www.imdb.com/name/nm0000118/,Debra Hill,https://www.imdb.com/name/nm0384185/,Scott Teems,https://www.imdb.com/name/nm1802374/,105,3,10,20000000.0,USD,92002155.0,49404980.0,133423964.0
Belfast,86287,7.2,PG,2021-11-12,"['Biography', 'Drama', 'Romance']",Biography,Drama,Romance,"['the troubles', 'narrow mindedness', 'year 1969', 'belfast northern ireland', 'irish protestant']",the troubles,narrow mindedness,year 1969,belfast northern ireland,irish protestant,"['TKBC', 'Northern Ireland Screen']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm11879379/', 'name': 'Jude Hill'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm11888099/', 'name': 'Lewis McAskie'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1495520/', 'name': 'Caitríona Balfe'}]",Jude Hill,https://www.imdb.com/name/nm11879379/,Lewis McAskie,https://www.imdb.com/name/nm11888099/,Caitríona Balfe,https://www.imdb.com/name/nm1495520/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000110/', 'name': 'Kenneth Branagh'}]",Kenneth Branagh,https://www.imdb.com/name/nm0000110/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0255050/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0211391/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000110/', 'name': 'Kenneth Branagh'}]",Kenneth Branagh,https://www.imdb.com/name/nm0000110/,unknown,unknown,unknown,unknown,98,59,254,11000000.0,USD,9250870.0,1779410.0,49158343.0
Farha,85775,8.1,TV-14,2022-10-21,['Drama'],Drama,unknown,unknown,"['coming of age', 'identity', 'exile', 'period piece', 'title directed by female']",coming of age,identity,exile,period piece,title directed by female,['TaleBox'],"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm11249900/', 'name': 'Karam Taher'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1678557/', 'name': 'Ashraf Barhom'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1846124/', 'name': 'Ali Suliman'}]",Karam Taher,https://www.imdb.com/name/nm11249900/,Ashraf Barhom,https://www.imdb.com/name/nm1678557/,Ali Suliman,https://www.imdb.com/name/nm1846124/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4627221/', 'name': 'Darin J. Sallam'}]",Darin J. Sallam,https://www.imdb.com/name/nm4627221/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0666638/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4627221/', 'name': 'Darin J. Sallam'}]",Darin J. Sallam,https://www.imdb.com/name/nm4627221/,unknown,unknown,unknown,unknown,92,3,6,,unknown,,,703.0
Shang-Chi and the Legend of the Ten Rings,421807,7.4,PG,2021-09-03,"['Action', 'Adventure', 'Fantasy']",Action,Adventure,Fantasy,"['superhero', 'dragon', 'marvel comics', 'scene during end credits', 'post credits scene']",superhero,dragon,marvel comics,scene during end credits,post credits scene,"['Walt Disney Pictures', 'Marvel Studios']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4855517/', 'name': 'Simu Liu'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm5377144/', 'name': 'Awkwafina'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0504897/', 'name': 'Tony Leung Chiu-wai'}]",Simu Liu,https://www.imdb.com/name/nm4855517/,Awkwafina,https://www.imdb.com/name/nm5377144/,Tony Leung Chiu-wai,https://www.imdb.com/name/nm0504897/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2308774/', 'name': 'Destin Daniel Cretton'}]",Destin Daniel Cretton,https://www.imdb.com/name/nm2308774/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0008970/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0051941/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1709264/', 'name': 'Dave Callaham'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2308774/', 'name': 'Destin Daniel Cretton'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm6150131/', 'name': 'Andrew Lanham'}]",Dave Callaham,https://www.imdb.com/name/nm1709264/,Destin Daniel Cretton,https://www.imdb.com/name/nm2308774/,Andrew Lanham,https://www.imdb.com/name/nm6150131/,132,19,67,200000000.0,USD,224543292.0,75388688.0,432243292.0
Free Guy,409005,7.1,PG,2021-08-13,"['Action', 'Adventure', 'Comedy']",Action,Adventure,Comedy,"['video game world', 'video game character', 'artificial intelligence', 'bank robbery', 'virtual reality']",video game world,video game character,artificial intelligence,bank robbery,virtual reality,"['20th Century Studios', 'Berlanti Productions', '21 Laps Entertainment']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0005351/', 'name': 'Ryan Reynolds'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3069650/', 'name': 'Jodie Comer'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0169806/', 'name': 'Taika Waititi'}]",Ryan Reynolds,https://www.imdb.com/name/nm0005351/,Jodie Comer,https://www.imdb.com/name/nm3069650/,Taika Waititi,https://www.imdb.com/name/nm0169806/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0506613/', 'name': 'Shawn Levy'}]",Shawn Levy,https://www.imdb.com/name/nm0506613/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0781821/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0330789/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0158853/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1073238/', 'name': 'Matt Lieberman'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0672015/', 'name': 'Zak Penn'}]",Matt Lieberman,https://www.imdb.com/name/nm1073238/,Zak Penn,https://www.imdb.com/name/nm0672015/,unknown,unknown,115,5,29,120000000.0,USD,121626598.0,28365416.0,331526598.0
The Suicide Squad,393251,7.2,14A,2021-08-06,"['Action', 'Adventure', 'Comedy']",Action,Adventure,Comedy,"['superheroine', 'giant monster', 'gore', 'graphic violence', 'violence']",superheroine,giant monster,gore,graphic violence,violence,"['Warner Bros.', 'DC Entertainment', 'Atlas Entertainment']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3053338/', 'name': 'Margot Robbie'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0252961/', 'name': 'Idris Elba'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1078479/', 'name': 'John Cena'}]",Margot Robbie,https://www.imdb.com/name/nm3053338/,Idris Elba,https://www.imdb.com/name/nm0252961/,John Cena,https://www.imdb.com/name/nm1078479/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0348181/', 'name': 'James Gunn'}]",James Gunn,https://www.imdb.com/name/nm0348181/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0002663/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0123927/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0028338/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0348181/', 'name': 'James Gunn'}]",James Gunn,https://www.imdb.com/name/nm0348181/,unknown,unknown,unknown,unknown,132,4,42,185000000.0,USD,55817425.0,26205415.0,168717425.0
Jungle Cruise,207269,6.6,PG,2021-07-30,"['Action', 'Adventure', 'Comedy']",Action,Adventure,Comedy,"['jungle', 'boat', 'gay brother', 'jaguar', 'amazon river']",jungle,boat,gay brother,jaguar,amazon river,"['Davis Entertainment', 'Flynn Picture Company', 'Seven Bucks Productions']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0425005/', 'name': 'Dwayne Johnson'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1289434/', 'name': 'Emily Blunt'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1183149/', 'name': 'Edgar Ramírez'}]",Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Emily Blunt,https://www.imdb.com/name/nm1289434/,Edgar Ramírez,https://www.imdb.com/name/nm1183149/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1429471/', 'name': 'Jaume Collet-Serra'}]",Jaume Collet-Serra,https://www.imdb.com/name/nm1429471/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0022730/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0348357/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0536392/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0338169/', 'name': 'Michael Green'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0275629/', 'name': 'Glenn Ficarra'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0720135/', 'name': 'John Requa'}]",Michael Green,https://www.imdb.com/name/nm0338169/,Glenn Ficarra,https://www.imdb.com/name/nm0275629/,John Requa,https://www.imdb.com/name/nm0720135/,127,5,9,200000000.0,USD,116987516.0,35018731.0,220889446.0
Old,153354,5.8,14A,2021-07-23,"['Drama', 'Horror', 'Mystery']",Drama,Horror,Mystery,"['aging', 'rapid aging', 'based on comic book', 'accelerated aging', 'vacation gone wrong']",aging,rapid aging,based on comic book,accelerated aging,vacation gone wrong,"['Universal Pictures', 'Blinding Edge Pictures', 'Perfect World Pictures']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0305558/', 'name': 'Gael García Bernal'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3043279/', 'name': 'Vicky Krieps'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001722/', 'name': 'Rufus Sewell'}]",Gael García Bernal,https://www.imdb.com/name/nm0305558/,Vicky Krieps,https://www.imdb.com/name/nm3043279/,Rufus Sewell,https://www.imdb.com/name/nm0001722/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0796117/', 'name': 'M. Night Shyamalan'}]",M. Night Shyamalan,https://www.imdb.com/name/nm0796117/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0005073/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0054054/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0739708/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0796117/', 'name': 'M. Night Shyamalan'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0506584/', 'name': 'Pierre-Oscar Lévy'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3382063/', 'name': 'Frederik Peeters'}]",M. Night Shyamalan,https://www.imdb.com/name/nm0796117/,Pierre-Oscar Lévy,https://www.imdb.com/name/nm0506584/,Frederik Peeters,https://www.imdb.com/name/nm3382063/,108,1,6,18000000.0,USD,48276510.0,16854735.0,90146510.0
