Movie Count,Tot_Profit,Avg_Profit,Max_Profit,Min_Profit,Tot_Rev,Avg_Rev,Max_Rev,Min_Rev,Tot_Bugd,Avg_Budg,Max_Budg,Min_Budg,Avg_ROI,Max_ROI,Min_ROI,Avg_RT_Ascore,Max_RT_Ascore,Min_RT_Ascore
15,600731940.0,40048796.0,179034126.0,-69436443.0,2440731940.0,162715462.66666666,373585825.0,40563557.0,1840000000.0,122666666.66666667,258000000.0,57000000.0,0.27202518296497796,1.2788151857142858,-0.6312403909090909,6.92,8.6,5.2
15,1523134145.0,101542276.33333333,426641279.0,-61232488.0,3162634145.0,210842276.33333334,533539991.0,22238696.0,1639500000.0,109300000.0,275000000.0,10500000.0,3.412571459834703,40.63250276190476,-0.42524569629629627,7.333333333333333,8.6,5.8
15,1611868410.0,107457894.0,503406625.0,-84516230.0,3127568410.0,208504560.66666666,653406625.0,22238696.0,1515700000.0,101046666.66666667,185000000.0,10700000.0,1.982263536547069,12.786665055555556,-0.6036873571428572,7.4,9.0,6.0
14,-146705208.0,-11285016.0,164668042.0,-76135493.0,1051294792.0,80868830.15384616,216668042.0,13109815.0,1198000000.0,92153846.15384616,150000000.0,37000000.0,0.058373326343975414,3.166693115384615,-0.7398426714285714,7.314285714285715,8.8,5.8
14,333153482.0,30286680.181818184,120336178.0,-33068911.0,1128653482.0,102604862.0,162001186.0,36931089.0,795500000.0,72318181.81818181,90000000.0,26000000.0,0.6621237368162828,4.628314538461538,-0.4724130142857143,6.7857142857142865,8.4,5.2
13,571343282.0,47611940.166666664,175104314.0,-129182575.0,1202843282.0,100236940.16666667,335104314.0,1044143.0,631500000.0,52625000.0,185000000.0,3000000.0,2.5960793382304463,11.966808,-0.6982841891891892,6.738461538461538,8.0,3.8
13,284561315.0,21889331.923076924,168815487.0,-143577375.0,1129461315.0,86881639.61538461,218815487.0,21596445.0,844900000.0,64992307.692307696,209000000.0,28000000.0,0.6804299856974901,3.37630974,-0.6869730861244019,6.861538461538462,8.2,5.6
13,375504768.0,31292064.0,136164286.0,-74537702.0,1160504768.0,96708730.66666667,226164286.0,28084357.0,785000000.0,65416666.666666664,175000000.0,15000000.0,1.124043345548482,3.768059764705882,-0.4259297257142857,7.1692307692307695,8.2,6.4
13,-88271371.0,-7355947.583333333,45190832.0,-83012484.0,1013728629.0,84477385.75,168152111.0,17044981.0,1102000000.0,91833333.33333333,200000000.0,7000000.0,0.11550569521611594,1.4349972857142856,-0.45263904,7.384615384615383,8.6,6.0
12,769693021.0,64141085.083333336,305070709.0,-134154026.0,1811693021.0,150974418.41666666,363070709.0,23852659.0,1042000000.0,86833333.33333333,200000000.0,20000000.0,1.1249085639039367,5.259839810344827,-0.67077013,7.583333333333332,8.6,6.2
