Name,Worldwide Gross Revenue (sus),Domestic Opening,Domestic Gross,China Opening,China Gross,UK Opening,UK Gross,France Opening,France Gross,Germany Opening,Germany Gross,Italy Opening,Italy Gross,Spain Opening,Spain Gross,Japan Opening,Japan Gross,South Korea Opening,South Korea Gross,Australia Opening,Australia Gross,Russia/CIS Opening,Russia/CIS Gross,India Opening,India Gross
28 Weeks Later,104384032.44,15737824.62,45957052.91,0.0,0.0,5008731.7,17068164.77,1947922.66,4134620.82,1481542.01,3563935.86,506002.45,1178034.25,2191998.51,7344351.43,552619.18,2059900.68,0.0,0.0,979276.92,3318621.17,1106173.89,2465479.0,0.0,145450.59
3 Days to Kill,69492519.87,15973317.76,40053925.89,0.0,0.0,720461.83,1613876.56,1742473.7,3186074.75,617305.16,1511012.16,0.0,1255409.7,462821.32,1302495.05,526708.23,1663559.71,1147739.82,2095952.41,563428.46,996384.82,1360549.63,2051984.17,0.0,0.0
3 Idiots,91152946.52,2488969.42,9881558.09,0.0,0.0,0.0,3829694.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924311.82,4563891.6,400083.01,1504480.73,0.0,0.0,13107615.5,65441338.32
30 Days of Night,121176470.14,25598119.86,63496629.09,0.0,0.0,5138868.57,14147040.62,1543068.06,3116492.35,1200817.88,2854832.13,2116042.94,6113844.88,3131356.75,6601553.68,0.0,0.0,533491.07,1046799.76,1142700.22,3271264.68,1485524.89,3426447.82,0.0,269845.83
30 Minutes or Less,57975190.26,19005560.86,52830035.54,0.0,0.0,586305.67,1244476.82,74758.35,101501.34,174557.33,431204.27,0.0,0.0,43214.81,78901.61,27408.83,163725.83,0.0,0.0,0.0,0.0,927975.01,1973625.19,0.0,82122.4
300,731878272.57,15093198.0,337997874.64,0.0,0.0,0.0,44923275.35,0.0,2790111.11,0.0,23382047.54,0.0,23457728.71,0.0,33317003.35,0.0,370778.66,0.0,0.0,0.0,1700661.47,0.0,0.0,0.0,0.0
300: Rise of an Empire,440465397.94,58764974.85,139062792.48,0.0,0.0,6022157.14,16865121.09,7936778.7,18658054.29,6199337.51,18203758.36,4347450.75,8833726.76,4915646.86,12045116.72,1116019.48,4117586.25,7162406.26,16310525.95,3754371.32,10202581.27,10940170.86,22802297.06,4258330.83,8559728.31
365 Days,10335656.67,0.0,0.0,0.0,0.0,540004.92,540004.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:10 to Yuma,112355479.08,22522107.83,86023363.29,0.0,0.0,1186734.97,3891913.78,1336978.82,2718701.67,423289.46,1100923.29,860417.92,1612535.8,819369.53,2566620.43,0.0,0.0,306678.66,494307.35,1302837.09,3806159.88,749624.17,1765798.1,0.0,0.0
42,131045550.9,27206921.86,127752299.94,0.0,0.0,0.0,17593.21,0.0,3681703.27,0.0,47303.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4165841.08,0.0,9701991.72,0.0,0.0
50 First Dates,348107659.43,69881138.81,212013039.62,0.0,1167589.54,5314136.87,24884591.82,0.0,1383765.27,0.0,16683973.57,651041.73,3023880.86,0.0,7019428.52,0.0,777390.61,0.0,2943947.28,0.0,19315377.69,1295234.26,3488393.38,0.0,449043.09
50/50,58595711.34,12324412.55,49921865.44,0.0,0.0,903379.21,3360971.8,148060.99,148060.99,130517.0,400738.61,89053.02,143743.79,0.0,0.0,190418.92,337171.06,432252.21,1227055.44,0.0,0.0,0.0,0.0,0.0,0.0
6 Underground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Mile,451819189.21,95322526.32,217191067.37,0.0,0.0,13327410.75,39031227.35,0.0,23920301.96,0.0,31973396.25,0.0,14067275.95,0.0,14659632.81,4233632.34,23605121.56,0.0,1306479.3,0.0,17977250.52,0.0,1267599.14,0.0,0.0
9,318988458.86,56501742.46,174925306.78,0.0,0.0,5672157.01,21949957.89,5618699.07,14139569.25,2828861.94,7578926.11,1407342.22,4146241.37,4325152.0,10623416.79,2667202.4,12239475.22,2984242.72,8374012.85,2734550.46,11297689.96,7171682.5,14218108.96,0.0,0.0
