Name,Estimated Budget,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD
6 Years,0.0,0.0,0.0,0.0
"67th Street, New York, NY",427728.27,0.0,0.0,0.0
68 Kill,620907.19,0.0,0.0,623.3
7 Below,8305403.22,0.0,0.0,117972.72
7 Days in Entebbe,0.0,3856771.53,1846312.06,10168493.71
7 Days in Havana,4152701.61,0.0,0.0,2637670.1
7 Khoon Maaf,6800879.43,385250.57,234042.93,5595897.62
7 Prisoners,0.0,0.0,0.0,0.0
71: Into the Fire,14685337.13,259398.86,113313.53,30791715.6
7500,0.0,0.0,0.0,0.0
8,2251017.62,0.0,0.0,10902.8
8 Mile,76272077.44,217191067.37,95322526.32,451819189.21
8 Women,14882356.57,5764636.17,97645.0,78925942.05
8-Bit Christmas,0.0,0.0,0.0,0.0
800 balas,0.0,1611.02,1611.02,2906038.7
88 Minutes,46739022.5,26818020.71,10839115.84,50779431.83
9,45377691.75,48024563.43,16245888.26,73251790.49
9 Songs,1753506.05,117227.14,23596.93,2788614.7
96 Souls,0.0,0.0,0.0,0.0
99 Francs,19393014.42,0.0,0.0,20946829.85
99 Homes,10134160.65,1788586.88,40857.14,2315949.6
A Babysitter's Guide to Monster Hunting,0.0,0.0,0.0,0.0
A Bad Moms Christmas,33433464.3,86103897.98,20011314.68,155895978.89
A Beautiful Day in the Neighborhood,28137720.25,69448457.52,14914385.11,76451010.92
A Better Life,14257608.87,2508272.69,88521.22,2656913.97
A Bigger Splash,0.0,2564068.05,144942.57,9558740.48
A Boy Called Christmas,0.0,0.0,0.0,3930300.32
A Brilliant Young Mind,0.0,217622.23,39786.71,1322026.59
A California Christmas,0.0,0.0,0.0,0.0
A Call to Spy,0.0,173758.89,38352.53,859412.3
A Case of You,0.0,4853.88,0.0,135123.83
A Castle for Christmas,0.0,0.0,0.0,0.0
A Cat in Paris,0.0,455205.8,50743.71,3057591.46
A Christmas Carol,302517944.97,208519361.88,45454947.27,492025238.37
A Christmas Horror Story,0.0,0.0,0.0,0.0
A Christmas Prince,0.0,0.0,0.0,0.0
A Christmas Prince: The Royal Baby,0.0,0.0,0.0,0.0
A Christmas Prince: The Royal Wedding,0.0,0.0,0.0,0.0
A Christmas Story Christmas,0.0,0.0,0.0,0.0
A Cinderella Story,33316615.01,90197151.22,23888626.69,122864502.56
A Classic Horror Story,3182700.0,0.0,0.0,0.0
A Coffee in Berlin,415270.16,208015.74,5423.43,3912305.87
A Company Man,0.0,0.0,0.0,10159443.3
A Cure for Wellness,47762091.86,9680165.25,5202415.41,31785674.52
A Dangerous Method,21386413.3,8133550.96,239460.82,43513418.14
